```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [64, 69]}},
    {"cropSpecies": {"value": "barley", "span": [96, 102]}},
    {"cropSpecies": {"value": "barley", "span": [154, 160]}},
    {"cropSpecies": {"value": "barley", "span": [246, 252]}},
    {"cropSpecies": {"value": "barley", "span": [349, 355]}},
    {"cropSpecies": {"value": "barley", "span": [405, 411]}},
    {"cropSpecies": {"value": "cereals", "span": [173, 180]}},
    {"cropVariety": {"value": "Hordeum vulgare ssp. vulgare", "span": [103, 127]}},
    {"cropSpecies": {"value": "barley", "span": [538, 544]}},
    {"cropSpecies": {"value": "barley", "span": [631, 637]}},
    {"cropSpecies": {"value": "barley", "span": [691, 697]}},
    {"cropSpecies": {"value": "barley", "span": [753, 759]}},
    {"cropSpecies": {"value": "barley", "span": [815, 821]}},
    {"cropSpecies": {"value": "barley", "span": [877, 883]}},
    {"cropSpecies": {"value": "barley", "span": [939, 945]}},
    {"cropSpecies": {"value": "barley", "span": [1001, 1007]}},
    {"cropSpecies": {"value": "barley", "span": [1063, 1069]}},
    {"cropSpecies": {"value": "barley", "span": [1125, 1131]}},
    {"cropSpecies": {"value": "barley", "span": [1187, 1193]}},
    {"cropSpecies": {"value": "barley", "span": [1250, 1256]}},
    {"cropSpecies": {"value": "barley", "span": [1312, 1318]}},
    {"cropSpecies": {"value": "barley", "span": [1374, 1380]}},
    {"cropSpecies": {"value": "barley", "span": [1436, 1442]}},
    {"cropSpecies": {"value": "barley", "span": [1498, 1504]}},
    {"cropSpecies": {"value": "barley", "span": [1560, 1566]}},
    {"cropSpecies": {"value": "barley", "span": [1622, 1628]}},
    {"cropSpecies": {"value": "barley", "span": [1684, 1690]}},
    {"cropSpecies": {"value": "barley", "span": [1746, 1752]}},
    {"cropSpecies": {"value": "barley", "span": [1808, 1814]}},
    {"cropSpecies": {"value": "barley", "span": [1870, 1876]}},
    {"cropSpecies": {"value": "barley", "span": [1932, 1938]}},
    {"cropSpecies": {"value": "barley", "span": [1994, 2000]}},
    {"cropSpecies": {"value": "barley", "span": [2056, 2062]}},
    {"cropSpecies": {"value": "barley", "span": [2118, 2124]}},
    {"cropSpecies": {"value": "barley", "span": [2180, 2186]}},
    {"cropSpecies": {"value": "barley", "span": [2242, 2248]}},
    {"cropSpecies": {"value": "barley", "span": [2304, 2310]}},
    {"cropSpecies": {"value": "barley", "span": [2366, 2372]}},
    {"cropSpecies": {"value": "barley", "span": [2428, 2434]}},
    {"cropSpecies": {"value": "barley", "span": [2490, 2496]}},
    {"cropSpecies": {"value": "barley", "span": [2552, 2558]}},
    {"cropSpecies": {"value": "barley", "span": [2614, 2620]}},
    {"cropSpecies": {"value": "barley", "span": [2676, 2682]}},
    {"cropSpecies": {"value": "barley", "span": [2738, 2744]}},
    {"cropSpecies": {"value": "barley", "span": [2800, 2806]}},
    {"cropSpecies": {"value": "barley", "span": [2862, 2868]}},
    {"cropSpecies": {"value": "barley", "span": [2924, 2930]}},
    {"cropSpecies": {"value": "barley", "span": [2986, 2992]}},
    {"cropSpecies": {"value": "barley", "span": [3048, 3054]}},
    {"cropSpecies": {"value": "barley", "span": [3110, 3116]}},
    {"cropSpecies": {"value": "barley", "span": [3172, 3178]}},
    {"cropSpecies": {"value": "barley", "span": [3234, 3240]}},
    {"cropSpecies": {"value": "barley", "span": [3296, 3302]}},
    {"cropSpecies": {"value": "barley", "span": [3358, 3364]}},
    {"cropSpecies": {"value": "barley", "span": [3420, 3426]}},
    {"cropSpecies": {"value": "barley", "span": [3482, 3488]}},
    {"cropSpecies": {"value": "barley", "span": [3544, 3550]}},
    {"cropSpecies": {"value": "barley", "span": [3606, 3612]}},
    {"cropSpecies": {"value": "barley", "span": [3668, 3674]}},
    {"cropSpecies": {"value": "barley", "span": [3730, 3736]}},
    {"cropSpecies": {"value": "barley", "span": [3792, 3798]}},
    {"cropSpecies": {"value": "barley", "span": [3854, 3860]}},
    {"cropSpecies": {"value": "barley", "span": [3916, 
