```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [156, 171]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [271, 278]}},
    {"cropSpecies": {"value": "SWD", "span": [330, 333]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [391, 406]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [428, 443]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [524, 539]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [553, 568]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [655, 670]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [704, 719]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [788, 803]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [859, 874]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1046, 1061]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1129, 1144]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1191, 1206]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1265, 1280]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1351, 1366]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1424, 1439]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1502, 1517]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1585, 1600]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1661, 1676]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1733, 1748]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1813, 1828]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1891, 1906]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1972, 1987]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2050, 2065]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2126, 2141]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2202, 2217]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2281, 2296]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2357, 2372]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2434, 2449]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2510, 2525]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2585, 2600]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2659, 2674]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2733, 2748]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2808, 2823]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2881, 2896]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2953, 2968]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3026, 3041]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3099, 3114]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3172, 3187]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3244, 3259]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3316, 3331]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3388, 3403]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3460, 3475]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3532, 3547]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3604, 3619]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3676, 3691]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3748, 3763]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3820, 3835]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3892, 3907]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3964, 3979]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4036, 4051]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4108, 4123]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4180, 4195]}},
    {"
