```json
{
  "Crops": [
    {"cropSpecies": { "value": "wheat", "span": [207, 212] }},
    {"cropSpecies": { "value": "barley", "span": [219, 225] }},
    {"cropSpecies": { "value": "sugar beet", "span": [229, 238] }},
    {"cropSpecies": { "value": "barley", "span": [568, 574] }},
    {"cropSpecies": { "value": "sugar beet", "span": [579, 588] }}
  ],
  "Soil": [
    {"Soil": { "value": "soil", "span": [53, 58] }},
    {"Soil": { "value": "soil", "span": [121, 126] }},
    {"Soil": { "value": "soil fertility", "span": [173, 185] }},
    {"Soil": { "value": "soil", "span": [384, 389] }},
    {"Soil": { "value": "soil", "span": [524, 529] }},
    {"Soil": { "value": "soil", "span": [536, 541] }},
    {"Soil": { "value": "soil", "span": [553, 558] }},
    {"Soil": { "value": "soil", "span": [580, 585] }},
    {"Soil": { "value": "soil", "span": [594, 599] }},
    {"Soil": { "value": "soil", "span": [604, 609] }},
    {"Soil": { "value": "soil", "span": [617, 622] }},
    {"Soil": { "value": "soil", "span": [628, 633] }},
    {"Soil": { "value": "soil", "span": [639, 644] }},
    {"Soil": { "value": "soil", "span": [650, 655] }},
    {"Soil": { "value": "soil", "span": [660, 665] }},
    {"Soil": { "value": "soil", "span": [673, 678] }},
    {"Soil": { "value": "soil", "span": [684, 689] }},
    {"Soil": { "value": "soil", "span": [706, 711] }},
    {"Soil": { "value": "soil", "span": [716, 721] }},
    {"Soil": { "value": "soil", "span": [727, 732] }},
    {"Soil": { "value": "soil", "span": [738, 743] }},
    {"Soil": { "value": "soil", "span": [749, 754] }},
    {"Soil": { "value": "soil", "span": [759, 764] }},
    {"Soil": { "value": "soil", "span": [771, 776] }},
    {"Soil": { "value": "soil", "span": [782, 787] }},
    {"Soil": { "value": "soil", "span": [793, 798] }},
    {"Soil": { "value": "soil", "span": [804, 809] }},
    {"Soil": { "value": "soil", "span": [810, 815] }},
    {"Soil": { "value": "soil", "span": [819, 824] }},
    {"Soil": { "value": "soil", "span": [830, 835] }},
    {"Soil": { "value": "soil", "span": [841, 846] }},
    {"Soil": { "value": "soil", "span": [852, 857] }},
    {"Soil": { "value": "soil", "span": [863, 868] }},
    {"Soil": { "value": "soil", "span": [874, 879] }},
    {"Soil": { "value": "soil", "span": [885, 890] }},
    {"Soil": { "value": "soil", "span": [896, 901] }},
    {"Soil": { "value": "soil", "span": [902, 907] }},
    {"Soil": { "value": "soil", "span": [913, 918] }},
    {"Soil": { "value": "soil", "span": [924, 929] }},
    {"Soil": { "value": "soil", "span": [930, 935] }},
    {"Soil": { "value": "soil", "span": [936, 941] }},
    {"Soil": { "value": "soil", "span": [947, 952] }},
    {"Soil": { "value": "soil", "span": [958, 963] }},
    {"Soil": { "value": "soil", "span": [964, 969] }},
    {"Soil": { "value": "soil", "span": [975, 980] }},
    {"Soil": { "value": "soil", "span": [986, 991] }},
    {"Soil": { "value": "soil", "span": [997, 1002] }},
    {"Soil": { "value": "soil", "span": [1008, 1013] }},
    {"Soil": { "value": "soil", "span": [1019, 1024] }},
    {"Soil": { "value": "soil", "span": [1
