```json
{
  "Crops": [
    {"cropSpecies": {"value": "winter wheat", "span": [234, 246]}},
    {"cropSpecies": {"value": "winter barley", "span": [247, 260]}},
    {"cropSpecies": {"value": "sugar beet", "span": [261, 272]}},
    {"cropSpecies": {"value": "winter barley", "span": [455, 468]}},
    {"cropSpecies": {"value": "sugar beet", "span": [469, 480]}
  ],
  "Soil": [
    {"soilTexture": {"value": "mineral", "span": [156, 163]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [173, 178]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [201, 206]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [219, 225]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [341, 347]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [571, 577]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [593, 599]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [605, 611]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [621, 627]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [634, 640]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [648, 654]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [663, 669]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [686, 692]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [704, 710]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [716, 722]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [732, 738]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [750, 756]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [763, 769]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [776, 782]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [794, 800]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [807, 813]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [820, 826]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [835, 841]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [848, 854]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [862, 868]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [877, 883]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [891, 897]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [905, 911]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [920, 926]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [934, 940]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [948, 954]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [962, 968]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [976, 982]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [990, 996]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1004, 1010]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1018, 1024]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1032, 1038]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1046, 1052]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1060, 1066]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1074, 1080]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1092, 1098]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1110, 1116]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1128, 1134]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1146, 1152]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1164, 1170]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1182, 1188]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1200, 1206]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1218, 1224]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1236, 1242]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1254, 1260]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1272, 1278]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1290, 1296]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1308, 1314]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1326, 1332]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [1344, 1350]}},
    {"soilOrganicCarbon":
