```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [64, 69]}},
    {"cropSpecies": {"value": "barley", "span": [97, 103]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [111, 126]}},
    {"cropSpecies": {"value": "barley", "span": [153, 159]}},
    {"cropSpecies": {"value": "barley", "span": [272, 278]}},
    {"cropSpecies": {"value": "barley", "span": [347, 353]}},
    {"cropSpecies": {"value": "barley", "span": [371, 377]}},
    {"cropSpecies": {"value": "barley", "span": [480, 486]}},
    {"cropSpecies": {"value": "barley", "span": [573, 579]}},
    {"cropSpecies": {"value": "barley", "span": [627, 633]}},
    {"cropSpecies": {"value": "barley", "span": [699, 705]}},
    {"cropSpecies": {"value": "barley", "span": [741, 747]}},
    {"cropSpecies": {"value": "barley", "span": [808, 814]}},
    {"cropSpecies": {"value": "barley", "span": [857, 863]}},
    {"cropSpecies": {"value": "barley", "span": [924, 930]}},
    {"cropSpecies": {"value": "barley", "span": [982, 988]}},
    {"cropSpecies": {"value": "barley", "span": [1034, 1040]}},
    {"cropSpecies": {"value": "barley", "span": [1091, 1097]}},
    {"cropSpecies": {"value": "barley", "span": [1149, 1155]}},
    {"cropSpecies": {"value": "barley", "span": [1211, 1217]}},
    {"cropSpecies": {"value": "barley", "span": [1272, 1278]}},
    {"cropSpecies": {"value": "barley", "span": [1334, 1340]}},
    {"cropSpecies": {"value": "barley", "span": [1397, 1403]}},
    {"cropSpecies": {"value": "barley", "span": [1461, 1467]}},
    {"cropSpecies": {"value": "barley", "span": [1525, 1531]}},
    {"cropSpecies": {"value": "barley", "span": [1590, 1596]}},
    {"cropSpecies": {"value": "barley", "span": [1656, 1662]}},
    {"cropSpecies": {"value": "barley", "span": [1723, 1729]}},
    {"cropSpecies": {"value": "barley", "span": [1791, 1797]}},
    {"cropSpecies": {"value": "barley", "span": [1859, 1865]}},
    {"cropSpecies": {"value": "barley", "span": [1928, 1934]}},
    {"cropSpecies": {"value": "barley", "span": [1998, 2004]}},
    {"cropSpecies": {"value": "barley", "span": [2070, 2076]}},
    {"cropSpecies": {"value": "barley", "span": [2143, 2149]}},
    {"cropSpecies": {"value": "barley", "span": [2217, 2223]}},
    {"cropSpecies": {"value": "barley", "span": [2292, 2298]}},
    {"cropSpecies": {"value": "barley", "span": [2368, 2374]}},
    {"cropSpecies": {"value": "barley", "span": [2445, 2451]}},
    {"cropSpecies": {"value": "barley", "span": [2523, 2529]}},
    {"cropSpecies": {"value": "barley", "span": [2602, 2608]}},
    {"cropSpecies": {"value": "barley", "span": [2682, 2688]}},
    {"cropSpecies": {"value": "barley", "span": [2763, 2769]}},
    {"cropSpecies": {"value": "barley", "span": [2845, 2851]}},
    {"cropSpecies": {"value": "barley", "span": [2928, 2934]}},
    {"cropSpecies": {"value": "barley", "span": [3012, 3018]}},
    {"cropSpecies": {"value": "barley", "span": [3097, 3103]}},
    {"cropSpecies": {"value": "barley", "span": [3183, 3189]}},
    {"cropSpecies": {"value": "barley", "span": [3270, 3276]}},
    {"cropSpecies": {"value": "barley", "span": [3358, 3364]}},
    {"cropSpecies": {"value": "barley", "span": [3447, 3453]}},
    {"cropSpecies": {"value": "barley", "span": [3537, 3543]}},
    {"cropSpecies": {"value": "barley", "span": [3628, 3634]}},
    {"cropSpecies": {"value": "barley", "span": [3720, 3726]}},
    {"cropSpecies": {"value": "barley", "span": [3813, 3819]}},
    {"cropSpecies": {"value": "barley", "span": [3907, 3913]}},
    {"cropSpecies": {"value": "barley", "span": [4002, 4008]}},
    {"cropSpecies": {"value": "barley", "span": [4098, 4104]}},
    {"cropSpecies": {"value": "barley", "span": [4195, 4201]}},
    {"cropSpecies": {"value": "barley", "span": [4293, 4299]}},
    {"cropSpecies": {"value": "barley", "span": [4392, 4398]}},
    {"cropSpecies": {"value": "barley", "span": [4492, 4498]}},
    {"cropSpecies": {"value": "barley", "span": [4593, 4599]}},
    {"cropSpecies": {"value": "barley", "span": [4695, 4701]}},
    {"cropSpecies": {"
