```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [66, 71]}},
    {"cropSpecies": {"value": "barley", "span": [92, 98]}},
    {"cropSpecies": {"value": "Hordeum vulgare ssp. vulgare", "span": [105, 130]}},
    {"cropSpecies": {"value": "barley", "span": [156, 162]}},
    {"cropSpecies": {"value": "barley", "span": [270, 276]}},
    {"cropSpecies": {"value": "barley", "span": [304, 310]}},
    {"cropSpecies": {"value": "barley", "span": [394, 400]}},
    {"cropSpecies": {"value": "barley", "span": [416, 422]}},
    {"cropSpecies": {"value": "barley", "span": [439, 445]}},
    {"cropSpecies": {"value": "barley", "span": [465, 471]}},
    {"cropSpecies": {"value": "barley", "span": [496, 502]}},
    {"cropSpecies": {"value": "barley", "span": [523, 529]}},
    {"cropSpecies": {"value": "barley", "span": [551, 557]}},
    {"cropSpecies": {"value": "barley", "span": [573, 579]}},
    {"cropSpecies": {"value": "barley", "span": [606, 612]}},
    {"cropSpecies": {"value": "barley", "span": [629, 635]}},
    {"cropSpecies": {"value": "barley", "span": [647, 653]}},
    {"cropSpecies": {"value": "barley", "span": [683, 689]}},
    {"cropSpecies": {"value": "barley", "span": [716, 722]}},
    {"cropSpecies": {"value": "barley", "span": [753, 759]}},
    {"cropSpecies": {"value": "barley", "span": [778, 784]}},
    {"cropSpecies": {"value": "barley", "span": [810, 816]}},
    {"cropSpecies": {"value": "barley", "span": [840, 846]}},
    {"cropSpecies": {"value": "barley", "span": [869, 875]}},
    {"cropSpecies": {"value": "barley", "span": [900, 906]}},
    {"cropSpecies": {"value": "barley", "span": [924, 930]}},
    {"cropSpecies": {"value": "barley", "span": [950, 956]}},
    {"cropSpecies": {"value": "barley", "span": [980, 986]}},
    {"cropSpecies": {"value": "barley", "span": [1008, 1014]}},
    {"cropSpecies": {"value": "barley", "span": [1034, 1040]}},
    {"cropSpecies": {"value": "barley", "span": [1060, 1066]}},
    {"cropSpecies": {"value": "barley", "span": [1085, 1091]}},
    {"cropSpecies": {"value": "barley", "span": [1110, 1116]}},
    {"cropSpecies": {"value": "barley", "span": [1136, 1142]}},
    {"cropSpecies": {"value": "barley", "span": [1163, 1169]}},
    {"cropSpecies": {"value": "barley", "span": [1191, 1197]}},
    {"cropSpecies": {"value": "barley", "span": [1217, 1223]}},
    {"cropSpecies": {"value": "barley", "span": [1244, 1250]}},
    {"cropSpecies": {"value": "barley", "span": [1270, 1276]}},
    {"cropSpecies": {"value": "barley", "span": [1297, 1303]}},
    {"cropSpecies": {"value": "barley", "span": [1325, 1331]}},
    {"cropSpecies": {"value": "barley", "span": [1352, 1358]}},
    {"cropSpecies": {"value": "barley", "span": [1379, 1385]}},
    {"cropSpecies": {"value": "barley", "span": [1407, 1413]}},
    {"cropSpecies": {"value": "barley", "span": [1434, 1440]}},
    {"cropSpecies": {"value": "barley", "span": [1462, 1468]}},
    {"cropSpecies": {"value": "barley", "span": [1490, 1496]}},
    {"cropSpecies": {"value": "barley", "span": [1517, 1523]}},
    {"cropSpecies": {"value": "barley", "span": [1545, 1551]}},
    {"cropSpecies": {"value": "barley", "span": [1573, 1579]}},
    {"cropSpecies": {"value": "barley", "span": [1601, 1607]}},
    {"cropSpecies": {"value": "barley", "span": [1628, 1634]}},
    {"cropSpecies": {"value": "barley", "span": [1656, 1662]}},
    {"cropSpecies": {"value": "barley", "span": [1684, 1690]}},
    {"cropSpecies": {"value": "barley", "span": [1711, 1717]}},
    {"cropSpecies": {"value": "barley", "span": [1739, 1745]}},
    {"cropSpecies": {"value": "barley", "span": [1767, 1773]}},
    {"cropSpecies": {"value": "barley", "span": [1795, 1801]}},
    {"cropSpecies": {"value": "barley", "span": [1822, 1828]}},
    {"cropSpecies": {"value": "barley", "span": [1850, 1856]}},
    {"cropSpecies": {"value": "barley", "span": [1878, 1884]}},
    {"cropSpecies": {"value": "barley", "span": [1905, 1911]}},
    {"cropSpecies": {"value": "barley", "span": [1933, 1939]}},
    {"cropSpecies": {"value": "barley", "span": [1961, 1967]}},
