```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [154, 170]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [216, 224]}},
    {"cropSpecies": {"value": "SWD", "span": [247, 250]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [455, 471]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [529, 545]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [572, 588]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [661, 677]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [725, 741]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [813, 829]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1014, 1030]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1069, 1085]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1141, 1157]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1274, 1290]}},
    {"cropSpecies": {"value": "apple", "span": [1436, 1441]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1534, 1550]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1645, 1661]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1755, 1771]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1874, 1890]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1982, 1998]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2079, 2095]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2173, 2189]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2265, 2281]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2351, 2367]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2440, 2456]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2533, 2549]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2626, 2642]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2715, 2731]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2804, 2820]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2893, 2909]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2982, 2998]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3071, 3087]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3160, 3176]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3249, 3265]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3338, 3354]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3427, 3443]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3516, 3532]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3605, 3621]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3694, 3710]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3783, 3799]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3872, 3888]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3961, 3977]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4050, 4066]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4139, 4155]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4228, 4244]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4317, 4333]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4406, 4422]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4495, 4511]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4584, 4600]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4673, 4689]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4762, 4778]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4851, 4867]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4940, 4956]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5029, 5045]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5118, 5134]}},
    {"crop
