```json
{
  "Crops": [
    {"cropSpecies": { "value": "wheat", "span": [271, 276] }},
    {"cropSpecies": { "value": "barley", "span": [282, 287] }},
    {"cropSpecies": { "value": "sugar beet", "span": [292, 301] }},
    {"cropSpecies": { "value": "barley", "span": [706, 711] }},
    {"cropSpecies": { "value": "sugar beet", "span": [716, 725] }}
  ],
  "Soil": [
    {"Soil": { "value": "soil", "span": [10, 14] }},
    {"Soil": { "value": "soil", "span": [31, 35] }},
    {"Soil": { "value": "soil", "span": [103, 107] }},
    {"Soil": { "value": "soil", "span": [144, 148] }},
    {"Soil": { "value": "soil", "span": [209, 213] }},
    {"Soil": { "value": "soil", "span": [466, 470] }},
    {"Soil": { "value": "soil", "span": [484, 488] }},
    {"Soil": { "value": "soil", "span": [565, 569] }},
    {"Soil": { "value": "soil", "span": [662, 666] }},
    {"Soil": { "value": "soil", "span": [772, 776] }},
    {"Soil": { "value": "soil", "span": [805, 809] }},
    {"Soil": { "value": "soil", "span": [836, 840] }},
    {"Soil": { "value": "soil", "span": [867, 871] }},
    {"Soil": { "value": "soil", "span": [898, 902] }},
    {"Soil": { "value": "soil", "span": [929, 933] }},
    {"Soil": { "value": "soil", "span": [960, 964] }},
    {"Soil": { "value": "soil", "span": [1051, 1055] }},
    {"Soil": { "value": "soil", "span": [1082, 1086] }},
    {"Soil": { "value": "soil", "span": [1113, 1117] }},
    {"Soil": { "value": "soil", "span": [1144, 1148] }},
    {"Soil": { "value": "soil", "span": [1175, 1179] }},
    {"Soil": { "value": "soil", "span": [1206, 1210] }},
    {"Soil": { "value": "soil", "span": [1237, 1241] }},
    {"Soil": { "value": "soil", "span": [1268, 1272] }},
    {"Soil": { "value": "soil", "span": [1299, 1303] }},
    {"Soil": { "value": "soil", "span": [1330, 1334] }},
    {"Soil": { "value": "soil", "span": [1357, 1361] }},
    {"Soil": { "value": "soil", "span": [1388, 1392] }},
    {"Soil": { "value": "soil", "span": [1419, 1423] }},
    {"Soil": { "value": "soil", "span": [1446, 1450] }},
    {"Soil": { "value": "soil", "span": [1477, 1481] }},
    {"Soil": { "value": "soil", "span": [1508, 1512] }},
    {"Soil": { "value": "soil", "span": [1539, 1543] }},
    {"Soil": { "value": "soil", "span": [1570, 1574] }},
    {"Soil": { "value": "soil", "span": [1601, 1605] }},
    {"Soil": { "value": "soil", "span": [1632, 1636] }},
    {"Soil": { "value": "soil", "span": [1663, 1667] }},
    {"Soil": { "value": "soil", "span": [1694, 1698] }},
    {"Soil": { "value": "soil", "span": [1725, 1729] }},
    {"Soil": { "value": "soil", "span": [1756, 1760] }},
    {"Soil": { "value": "soil", "span": [1787, 1791] }},
    {"Soil": { "value": "soil", "span": [1818, 1822] }},
    {"Soil": { "value": "soil", "span": [1849, 1853] }},
    {"Soil": { "value": "soil", "span": [1880, 1884] }},
    {"Soil": { "value": "soil", "span": [1911, 1915] }},
    {"Soil": { "value": "soil", "span": [1942, 1946] }},
    {"Soil": { "value": "soil", "span": [1973, 1977] }},
    {"Soil": { "value": "soil", "span": [2
