```json
{
  "Crops": [
    {"cropSpecies": {"value": "wheat", "span": [1551, 1556]}}
  ],
  "Soil": [
    {"Soil": {"value": "soil properties", "span": [281, 296]}},
    {"Soil": {"value": "soil water stable aggregation", "span": [359, 388]}},
    {"Soil": {"value": "Soil", "span": [1734, 1739]}},
    {"Soil": {"value": "Boden", "span": [1764, 1769]}},
    {"Soil": {"value": "soil", "span": [207, 211]}},
    {"Soil": {"value": "soil", "span": [444, 448]}},
    {"Soil": {"value": "soil", "span": [633, 637]}},
    {"Soil": {"value": "soil", "span": [697, 701]}},
    {"Soil": {"value": "soil", "span": [749, 753]}},
    {"Soil": {"value": "soil", "span": [814, 818]}},
    {"Soil": {"value": "soil", "span": [944, 948]}},
    {"Soil": {"value": "soil", "span": [1069, 1073]}},
    {"Soil": {"value": "soil", "span": [1120, 1124]}},
    {"Soil": {"value": "soil", "span": [1165, 1169]}},
    {"Soil": {"value": "soil", "span": [1294, 1298]}},
    {"Soil": {"value": "soil", "span": [1408, 1412]}},
    {"Soil": {"value": "soil", "span": [1463, 1467]}},
    {"Soil": {"value": "soil", "span": [1514, 1518]}},
    {"Soil": {"value": "soil", "span": [1582, 1586]}},
    {"Soil": {"value": "soil", "span": [1631, 1635]}},
    {"Soil": {"value": "soil", "span": [1680, 1684]}},
    {"Soil": {"value": "soil", "span": [1721, 1725]}},
    {"Soil": {"value": "soil", "span": [1740, 1744]}},
    {"Soil": {"value": "soil", "span": [1769, 1773]}},
    {"Soil": {"value": "soil", "span": [1794, 1798]}},
    {"Soil": {"value": "soil", "span": [1829, 1833]}},
    {"Soil": {"value": "soil", "span": [1864, 1868]}},
    {"Soil": {"value": "soil", "span": [1900, 1904]}},
    {"Soil": {"value": "soil", "span": [1935, 1939]}},
    {"Soil": {"value": "soil", "span": [1970, 1974]}},
    {"Soil": {"value": "soil", "span": [2005, 2009]}},
    {"Soil": {"value": "soil", "span": [2040, 2044]}},
    {"Soil": {"value": "soil", "span": [2075, 2079]}},
    {"Soil": {"value": "soil", "span": [2110, 2114]}},
    {"Soil": {"value": "soil", "span": [2145, 2149]}},
    {"Soil": {"value": "soil", "span": [2180, 2184]}},
    {"Soil": {"value": "soil", "span": [2215, 2219]}},
    {"Soil": {"value": "soil", "span": [2250, 2254]}},
    {"Soil": {"value": "soil", "span": [2285, 2289]}},
    {"Soil": {"value": "soil", "span": [2320, 2324]}},
    {"Soil": {"value": "soil", "span": [2355, 2359]}},
    {"Soil": {"value": "soil", "span": [2390, 2394]}},
    {"Soil": {"value": "soil", "span": [2425, 2429]}},
    {"Soil": {"value": "soil", "span": [2460, 2464]}},
    {"Soil": {"value": "soil", "span": [2495, 2499]}},
    {"Soil": {"value": "soil", "span": [2530, 2534]}},
    {"Soil": {"value": "soil", "span": [2565, 2569]}},
    {"Soil": {"value": "soil", "span": [2600, 2604]}},
    {"Soil": {"value": "soil", "span": [2635, 2639]}},
    {"Soil": {"value": "soil", "span": [2670, 2674]}},
    {"Soil": {"value": "soil", "span": [2705, 2709]}},
    {"Soil": {"value": "soil", "span": [2740, 2744]}},
    {"Soil": {"value": "soil", "span": [2775, 2779]}},
    {"Soil": {"value": "soil", "span": [2810, 2814]}},
    {"Soil": {"value": "soil", "span": [2845, 2849]}},
    {"Soil": {"value": "soil", "span": [2880, 2884]}},
    {"Soil": {"value": "soil", "span": [2915, 2919]}},
    {"Soil": {"value": "soil", "span": [2950, 2954]}},
    {"Soil": {"value": "soil", "span": [2985, 2989]}},
    {"Soil": {"value": "soil", "span": [3020, 3024]}},
    {"Soil": {"value": "soil", "span": [3055, 3059]}},
    {"Soil": {"value":
