```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [64, 69]}},
    {"cropSpecies": {"value": "barley", "span": [97, 103]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [111, 125]}},
    {"cropSpecies": {"value": "barley", "span": [173, 179]}},
    {"cropSpecies": {"value": "barley", "span": [227, 233]}},
    {"cropSpecies": {"value": "barley", "span": [244, 250]}},
    {"cropSpecies": {"value": "barley", "span": [302, 308]}},
    {"cropSpecies": {"value": "barley", "span": [341, 347]}},
    {"cropSpecies": {"value": "barley", "span": [394, 400]}},
    {"cropSpecies": {"value": "barley", "span": [427, 433]}},
    {"cropSpecies": {"value": "barley", "span": [462, 468]}},
    {"cropSpecies": {"value": "barley", "span": [509, 515]}},
    {"cropSpecies": {"value": "barley", "span": [523, 529]}},
    {"cropSpecies": {"value": "barley", "span": [571, 577]}},
    {"cropSpecies": {"value": "barley", "span": [603, 609]}},
    {"cropSpecies": {"value": "barley", "span": [654, 660]}},
    {"cropSpecies": {"value": "barley", "span": [693, 699]}},
    {"cropSpecies": {"value": "barley", "span": [726, 732]}},
    {"cropSpecies": {"value": "barley", "span": [758, 764]}},
    {"cropSpecies": {"value": "barley", "span": [808, 814]}},
    {"cropSpecies": {"value": "barley", "span": [831, 837]}},
    {"cropSpecies": {"value": "barley", "span": [880, 886]}},
    {"cropSpecies": {"value": "barley", "span": [913, 919]}},
    {"cropSpecies": {"value": "barley", "span": [946, 952]}},
    {"cropSpecies": {"value": "barley", "span": [983, 989]}},
    {"cropSpecies": {"value": "barley", "span": [1015, 1021]}},
    {"cropSpecies": {"value": "barley", "span": [1050, 1056]}},
    {"cropSpecies": {"value": "barley", "span": [1085, 1091]}},
    {"cropSpecies": {"value": "barley", "span": [1121, 1127]}},
    {"cropSpecies": {"value": "barley", "span": [1155, 1161]}},
    {"cropSpecies": {"value": "barley", "span": [1191, 1197]}},
    {"cropSpecies": {"value": "barley", "span": [1224, 1230]}},
    {"cropSpecies": {"value": "barley", "span": [1260, 1266]}},
    {"cropSpecies": {"value": "barley", "span": [1293, 1299]}},
    {"cropSpecies": {"value": "barley", "span": [1329, 1335]}},
    {"cropSpecies": {"value": "barley", "span": [1362, 1368]}},
    {"cropSpecies": {"value": "barley", "span": [1398, 1404]}},
    {"cropSpecies": {"value": "barley", "span": [1431, 1437]}},
    {"cropSpecies": {"value": "barley", "span": [1467, 1473]}},
    {"cropSpecies": {"value": "barley", "span": [1500, 1506]}},
    {"cropSpecies": {"value": "barley", "span": [1536, 1542]}},
    {"cropSpecies": {"value": "barley", "span": [1569, 1575]}},
    {"cropSpecies": {"value": "barley", "span": [1605, 1611]}},
    {"cropSpecies": {"value": "barley", "span": [1638, 1644]}},
    {"cropSpecies": {"value": "barley", "span": [1672, 1678]}},
    {"cropSpecies": {"value": "barley", "span": [1709, 1715]}},
    {"cropSpecies": {"value": "barley", "span": [1741, 1747]}},
    {"cropSpecies": {"value": "barley", "span": [1776, 1782]}},
    {"cropSpecies": {"value": "barley", "span": [1808, 1814]}},
    {"cropSpecies": {"value": "barley", "span": [1844, 1850]}},
    {"cropSpecies": {"value": "barley", "span": [1875, 1881]}},
    {"cropSpecies": {"value": "barley", "span": [1911, 1917]}},
    {"cropSpecies": {"value": "barley", "span": [1944, 1950]}},
    {"cropSpecies": {"value": "barley", "span": [1980, 1986]}},
    {"cropSpecies": {"value": "barley", "span": [2007, 2013]}},
    {"cropSpecies": {"value": "barley", "span": [2043, 2049]}},
    {"cropSpecies": {"value": "barley", "span": [2075, 2081]}},
    {"cropSpecies": {"value": "barley", "span": [2112, 2118]}},
    {"cropSpecies": {"value": "barley", "span": [2136, 2142]}},
    {"cropSpecies": {"value": "barley", "span": [2174, 2180]}},
    {"cropSpecies": {"value": "barley", "span": [2207, 2213]}},
    {"cropSpecies": {"value": "barley", "span": [2245, 2251]}},
    {"cropSpecies": {"value": "barley", "span": [2277, 2283]}},
    {"cropSpecies": {"value": "barley", "span": [2314, 2320]}},
