```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [156, 171]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [294, 301]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [442, 449]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [529, 536]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [571, 578]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [660, 667]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [712, 719]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [778, 785]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1085, 1092]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1141, 1148]}},
    {"cropSpecies": {"value": "grape", "span": [221, 226]}},
    {"cropVariety": {"value": "soft-skinned fruits", "span": [191, 209]}},
    {"cropVariety": {"value": "susceptible grape varieties", "span": [236, 262]}},
    {"cropSpecies": {"value": "apple", "span": [1004, 1009]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1241, 1248]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1316, 1323]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1404, 1411]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1466, 1473]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1523, 1530]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1581, 1588]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1644, 1651]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1696, 1703]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1751, 1758]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1814, 1821]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1877, 1884]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1940, 1947]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2003, 2010]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2066, 2073]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2131, 2138]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2194, 2201]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2257, 2264]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2322, 2329]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2387, 2394]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2452, 2459]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2517, 2524]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2582, 2589]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2647, 2654]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2712, 2719]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2777, 2784]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2842, 2849]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2907, 2914]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2972, 2979]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3037, 3044]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3102, 3109]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3167, 3174]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3232, 3239]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3297, 3304]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3362, 3369]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3427, 3434]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3492, 3499]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3557, 3564]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3622, 3629]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3687, 3694]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3752, 3759]}},
    {"cropSpecies": {"value":
