```json
{
  "Crops": [
    {"cropSpecies": {"value": "barley", "span": [73, 79]}},
    {"cropSpecies": {"value": "oat", "span": [631, 634]}},
    {"cropSpecies": {"value": "barley", "span": [744, 750]}},
    {"cropSpecies": {"value": "rape", "span": [833, 837]}},
    {"cropSpecies": {"value": "wheat", "span": [845, 850]}},
    {"cropSpecies": {"value": "lupine", "span": [857, 863]}},
    {"cropSpecies": {"value": "rye", "span": [870, 873]}},
    {"cropSpecies": {"value": "barley", "span": [1028, 1034]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [1145, 1158]}},
    {"cropSpecies": {"value": "OTTO", "span": [1175, 1179]}},
    {"cropSpecies": {"value": "winter barley", "span": [31, 43]}},
    {"cropSpecies": {"value": "winter barley", "span": [105, 117]}},
    {"cropSpecies": {"value": "winter oilseed rape", "span": [824, 845]}},
    {"cropSpecies": {"value": "winter wheat", "span": [851, 863]}},
    {"cropSpecies": {"value": "winter rye", "span": [870, 881]}},
    {"cropSpecies": {"value": "winter barley", "span": [1018, 1030]}},
    {"cropSpecies": {"value": "barley", "span": [1493, 1499]}},
    {"cropSpecies": {"value": "wheat", "span": [1509, 1514]}},
    {"cropSpecies": {"value": "rape", "span": [1516, 1520]}},
    {"cropSpecies": {"value": "lupine", "span": [1522, 1528]}},
    {"cropSpecies": {"value": "rye", "span": [1530, 1533]}},
    {"cropSpecies": {"value": "barley", "span": [1585, 1591]}},
    {"cropSpecies": {"value": "oat", "span": [1655, 1658]}},
    {"cropSpecies": {"value": "barley", "span": [1768, 1774]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [1989, 2002]}},
    {"cropSpecies": {"value": "OTTO", "span": [2019, 2023]}},
    {"cropSpecies": {"value": "winter barley", "span": [31, 43]}},
    {"cropSpecies": {"value": "winter barley", "span": [105, 117]}},
    {"cropSpecies": {"value": "winter oilseed rape", "span": [824, 845]}},
    {"cropSpecies": {"value": "winter wheat", "span": [851, 863]}},
    {"cropSpecies": {"value": "winter rye", "span": [870, 881]}},
    {"cropSpecies": {"value": "winter barley", "span": [1018, 1030]}},
    {"cropSpecies": {"value": "barley", "span": [1493, 1499]}},
    {"cropSpecies": {"value": "wheat", "span": [1509, 1514]}},
    {"cropSpecies": {"value": "rape", "span": [1516, 1520]}},
    {"cropSpecies": {"value": "lupine", "span": [1522, 1528]}},
    {"cropSpecies": {"value": "rye", "span": [1530, 1533]}},
    {"cropSpecies": {"value": "barley", "span": [1585, 1591]}},
    {"cropSpecies": {"value": "oat", "span": [1655, 1658]}},
    {"cropSpecies": {"value": "barley", "span": [1768, 1774]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [1989, 2002]}},
    {"cropSpecies": {"value": "OTTO", "span": [2019, 2023]}},
    {"cropSpecies": {"value": "winter barley", "span": [31, 43]}},
    {"cropSpecies": {"value": "winter barley", "span": [105, 117]}},
    {"cropSpecies": {"value": "winter oilseed rape", "span": [824, 845]}},
    {"cropSpecies": {"value": "winter wheat", "span": [851, 863]}},
    {"cropSpecies": {"value": "winter rye", "span": [870, 881]}},
    {"cropSpecies": {"value": "winter barley", "span": [1018, 1030]}},
    {"cropSpecies": {"value": "barley", "span": [1493, 1499]}},
    {"cropSpecies": {"value": "wheat", "span": [1509, 1514]}},
    {"cropSpecies": {"value": "rape", "span": [1516, 1520]}},
    {"cropSpecies": {"value": "lupine", "span": [1522, 1528]}},
    {"cropSpecies": {"value": "rye", "span": [1530, 1533]}},
    {"cropSpecies": {"value": "barley", "span": [1585, 1591]}},
    {"cropSpecies": {"value": "oat", "span": [1655, 1658]}},
    {"cropSpecies": {"value": "barley", "span": [1768, 1774]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [1989, 2002]}},
    {"cropSpecies": {"value": "OTTO", "span": [2019, 2023]}},
    {"cropSpecies": {"value": "winter barley", "span": [31, 43]}},
    {"cropSpecies": {"value": "winter barley", "span": [105, 117]}},
    {"cropSpecies": {"value": "winter oilseed rape", "span": [824, 845]}},
    {"cropSpecies": {"value": "winter wheat", "span": [851, 863]}},
    {"cropSpecies": {"value": "winter rye", "span": [870, 881]}},
    {"cropSpecies
